recency,frequency,monetary,cluster,Segment
22,1,209.49,1,Lost Customers
421,1,102.0,2,At-Risk Loyalists
582,1,156.85000000000002,2,At-Risk Loyalists
16,18,7023.58,0,Champions
19,2,613.6899999999999,1,Lost Customers
159,2,701.36,2,At-Risk Loyalists
577,2,324.19,2,At-Risk Loyalists
25,7,1095.27,1,Lost Customers
399,2,620.37,2,At-Risk Loyalists
212,2,271.24,2,At-Risk Loyalists
6,10,1966.09,0,Champions
486,1,139.95000000000002,2,At-Risk Loyalists
416,1,651.4,2,At-Risk Loyalists
253,1,85.0,2,At-Risk Loyalists
59,18,5629.91,0,Champions
381,1,319.75,2,At-Risk Loyalists
11,1,361.62,1,Lost Customers
65,1,312.98,2,At-Risk Loyalists
25,4,1307.79,1,Lost Customers
720,1,310.72,2,At-Risk Loyalists
92,8,3335.0,3,New/Promising
52,5,3469.3,3,New/Promising
129,1,1595.48,3,New/Promising
96,8,4606.46,3,New/Promising
611,1,187.35000000000002,2,At-Risk Loyalists
57,1,1090.14,1,Lost Customers
9,39,12253.96,0,Champions
501,4,1310.3400000000001,3,New/Promising
169,11,1142.03,3,New/Promising
393,6,1001.01,3,New/Promising
57,1,216.17,2,At-Risk Loyalists
326,2,515.86,2,At-Risk Loyalists
1,5,1245.9,1,Lost Customers
429,2,273.26,2,At-Risk Loyalists
18,9,2556.09,0,Champions
248,4,1239.55,3,New/Promising
387,1,662.4000000000001,2,At-Risk Loyalists
58,4,501.56,1,Lost Customers
74,1,145.67000000000002,2,At-Risk Loyalists
31,3,1015.29,1,Lost Customers
7,2,3192.54,1,Lost Customers
123,10,8111.57,3,New/Promising
2,15,5712.08,0,Champions
23,17,7885.85,0,Champions
527,3,919.57,3,New/Promising
120,8,1038.92,3,New/Promising
358,7,2049.15,3,New/Promising
54,14,4814.37,0,Champions
64,1,122.7,2,At-Risk Loyalists
86,3,449.68,1,Lost Customers
55,4,2473.06,3,New/Promising
646,1,395.5,2,At-Risk Loyalists
21,17,4391.66,0,Champions
4,43,45179.1,0,Champions
3,5,1191.13,1,Lost Customers
11,15,6560.02,0,Champions
7,10,1888.48,0,Champions
189,2,506.8,2,At-Risk Loyalists
71,1,243.56,2,At-Risk Loyalists
204,1,349.55,2,At-Risk Loyalists
120,7,2169.05,3,New/Promising
93,6,1991.23,3,New/Promising
1,14,2927.38,0,Champions
378,3,863.5600000000001,3,New/Promising
27,6,1267.6499999999999,1,Lost Customers
298,1,821.1,2,At-Risk Loyalists
24,3,564.62,1,Lost Customers
28,6,4008.52,0,Champions
626,1,388.55,2,At-Risk Loyalists
50,3,1160.72,1,Lost Customers
326,2,686.4,2,At-Risk Loyalists
16,2,388.52,1,Lost Customers
183,6,1610.59,3,New/Promising
72,15,5676.34,0,Champions
632,5,34095.26,3,New/Promising
400,1,165.45000000000002,2,At-Risk Loyalists
37,2,332.64,1,Lost Customers
733,1,312.65,2,At-Risk Loyalists
409,1,42.0,2,At-Risk Loyalists
692,1,136.8,2,At-Risk Loyalists
80,4,2369.55,3,New/Promising
423,2,286.6,2,At-Risk Loyalists
57,20,4234.99,0,Champions
424,1,124.95,2,At-Risk Loyalists
507,1,42.22,2,At-Risk Loyalists
12,2,626.45,1,Lost Customers
394,1,70.80000000000001,2,At-Risk Loyalists
464,4,1275.81,3,New/Promising
50,2,272.04,1,Lost Customers
50,2,1212.8400000000001,1,Lost Customers
59,4,1360.68,3,New/Promising
432,4,1774.68,3,New/Promising
402,4,730.7,3,New/Promising
352,3,865.2,3,New/Promising
54,1,351.13,1,Lost Customers
2,6,1838.8500000000001,1,Lost Customers
93,4,678.25,3,New/Promising
23,1,223.85000000000002,1,Lost Customers
75,2,708.26,1,Lost Customers
11,4,464.57,1,Lost Customers
169,11,3494.1,3,New/Promising
58,2,337.34,1,Lost Customers
96,11,5257.38,3,New/Promising
295,1,307.4,2,At-Risk Loyalists
109,2,608.7900000000001,2,At-Risk Loyalists
264,1,922.1,2,At-Risk Loyalists
597,3,6116.92,3,New/Promising
180,3,939.66,3,New/Promising
169,2,880.13,3,New/Promising
35,1,71.66,2,At-Risk Loyalists
23,7,1560.96,1,Lost Customers
17,4,839.14,1,Lost Customers
22,15,11122.300000000001,0,Champions
535,1,320.0,2,At-Risk Loyalists
578,1,246.54,2,At-Risk Loyalists
653,1,200.43,2,At-Risk Loyalists
395,2,854.15,2,At-Risk Loyalists
79,6,1876.23,3,New/Promising
65,1,90.6,2,At-Risk Loyalists
361,4,548.76,3,New/Promising
3,6,2427.32,0,Champions
11,4,745.06,1,Lost Customers
176,3,674.45,3,New/Promising
218,14,12823.521,0,Champions
7,12,6640.68,0,Champions
2,2,439.92,1,Lost Customers
154,3,545.17,3,New/Promising
5,5,1026.42,1,Lost Customers
418,3,458.25,2,At-Risk Loyalists
380,8,4709.2300000000005,3,New/Promising
79,6,1076.18,3,New/Promising
21,2,230.22,1,Lost Customers
392,1,538.4,2,At-Risk Loyalists
22,3,362.8,1,Lost Customers
308,17,3011.87,3,New/Promising
387,2,438.9,2,At-Risk Loyalists
477,3,996.61,3,New/Promising
435,1,390.86,2,At-Risk Loyalists
146,2,166.3,2,At-Risk Loyalists
423,1,123.66,2,At-Risk Loyalists
7,35,13365.87,0,Champions
386,2,846.55,2,At-Risk Loyalists
19,14,4667.57,0,Champions
71,2,190.25,2,At-Risk Loyalists
287,1,264.7,2,At-Risk Loyalists
49,2,677.72,1,Lost Customers
31,12,5358.84,0,Champions
207,4,1192.36,3,New/Promising
411,1,519.8100000000001,2,At-Risk Loyalists
15,2,196.79000000000002,1,Lost Customers
73,7,3416.23,3,New/Promising
60,5,799.92,3,New/Promising
416,1,331.14,2,At-Risk Loyalists
39,9,4445.59,0,Champions
30,21,7108.45,0,Champions
27,12,2048.6,0,Champions
4,22,10020.86,0,Champions
17,1,320.46,1,Lost Customers
380,2,682.54,2,At-Risk Loyalists
20,8,4757.8,0,Champions
66,5,2026.06,3,New/Promising
213,1,311.3,2,At-Risk Loyalists
12,6,855.97,1,Lost Customers
30,3,219.5,1,Lost Customers
43,19,6775.71,0,Champions
4,6,2313.14,0,Champions
15,14,3902.01,0,Champions
386,2,895.76,2,At-Risk Loyalists
519,3,382.31,2,At-Risk Loyalists
447,3,566.7,2,At-Risk Loyalists
10,29,9502.26,0,Champions
211,5,2046.3400000000001,3,New/Promising
46,9,4530.09,0,Champions
134,2,529.73,2,At-Risk Loyalists
733,1,209.41,2,At-Risk Loyalists
43,11,6258.45,0,Champions
10,5,2874.72,1,Lost Customers
116,7,2196.67,3,New/Promising
513,1,79.48,2,At-Risk Loyalists
432,1,509.04,2,At-Risk Loyalists
198,3,1099.91,3,New/Promising
565,2,445.15,2,At-Risk Loyalists
480,2,457.82,2,At-Risk Loyalists
278,1,328.8,2,At-Risk Loyalists
110,5,1084.57,3,New/Promising
77,3,1948.21,3,New/Promising
53,1,917.34,1,Lost Customers
162,11,11403.41,3,New/Promising
571,1,229.75,2,At-Risk Loyalists
645,1,367.15000000000003,2,At-Risk Loyalists
47,3,1421.61,1,Lost Customers
17,4,1249.01,1,Lost Customers
155,7,1716.58,3,New/Promising
225,2,792.15,2,At-Risk Loyalists
7,2,584.07,1,Lost Customers
122,3,645.74,3,New/Promising
465,8,4057.9,3,New/Promising
471,2,713.11,2,At-Risk Loyalists
61,1,104.82,2,At-Risk Loyalists
550,3,10396.5,3,New/Promising
63,2,467.66,1,Lost Customers
18,20,8262.29,0,Champions
7,44,40999.17,0,Champions
2,16,4850.2699999999995,0,Champions
555,1,109.44,2,At-Risk Loyalists
22,3,651.8199999999999,1,Lost Customers
29,9,2856.72,0,Champions
285,1,626.65,2,At-Risk Loyalists
176,6,836.95,3,New/Promising
78,5,3069.88,3,New/Promising
33,2,267.28000000000003,1,Lost Customers
41,35,12645.57,0,Champions
266,1,141.41,2,At-Risk Loyalists
725,1,431.98,2,At-Risk Loyalists
491,2,304.25,2,At-Risk Loyalists
27,10,3123.1,0,Champions
109,16,11313.029999999999,0,Champions
284,1,154.99,2,At-Risk Loyalists
9,14,4255.03,0,Champions
305,3,748.69,3,New/Promising
17,13,13239.03,0,Champions
32,2,746.36,1,Lost Customers
1,37,22434.0,0,Champions
20,2,480.81,1,Lost Customers
124,4,572.3,3,New/Promising
65,1,92.46,2,At-Risk Loyalists
106,3,1520.96,3,New/Promising
1,23,8214.65,0,Champions
24,22,8408.84,0,Champions
463,2,469.19,2,At-Risk Loyalists
267,1,183.6,2,At-Risk Loyalists
5,30,9519.08,0,Champions
507,3,917.4300000000001,3,New/Promising
10,24,25604.2,0,Champions
438,9,22710.2,3,New/Promising
29,15,3332.42,0,Champions
389,3,891.02,3,New/Promising
267,1,152.55,2,At-Risk Loyalists
64,2,374.7,1,Lost Customers
320,4,1528.3700000000001,3,New/Promising
515,2,230.06,2,At-Risk Loyalists
685,1,326.55,2,At-Risk Loyalists
4,8,1438.82,0,Champions
667,1,390.85,2,At-Risk Loyalists
32,1,151.04,1,Lost Customers
623,1,219.39999999999998,2,At-Risk Loyalists
5,6,1734.87,1,Lost Customers
129,1,122.47,2,At-Risk Loyalists
41,6,615.0799999999999,1,Lost Customers
102,9,1692.6299999999999,3,New/Promising
125,2,618.73,2,At-Risk Loyalists
33,5,1115.68,1,Lost Customers
302,10,5370.1,3,New/Promising
365,2,413.36,2,At-Risk Loyalists
4,11,1407.26,0,Champions
512,1,150.5,2,At-Risk Loyalists
2,33,10104.97,0,Champions
463,1,39.95,2,At-Risk Loyalists
3,3,846.22,1,Lost Customers
10,16,64036.8,0,Champions
57,1,161.0,2,At-Risk Loyalists
325,1,76.32000000000001,2,At-Risk Loyalists
654,2,9530.08,3,New/Promising
8,24,7229.45,0,Champions
12,1,442.85,1,Lost Customers
440,1,335.22,2,At-Risk Loyalists
723,1,2.95,2,At-Risk Loyalists
4,17,65164.79,0,Champions
481,2,422.85999999999996,2,At-Risk Loyalists
37,1,147.35,1,Lost Customers
16,20,5765.71,0,Champions
138,1,194.9,2,At-Risk Loyalists
74,13,9961.93,0,Champions
5,5,1360.28,1,Lost Customers
665,1,0.0,2,At-Risk Loyalists
155,5,771.5799999999999,3,New/Promising
239,5,5988.83,3,New/Promising
737,1,214.79999999999998,2,At-Risk Loyalists
52,11,4877.3,0,Champions
31,4,1044.96,1,Lost Customers
73,1,144.2,2,At-Risk Loyalists
4,33,12987.95,0,Champions
14,4,692.85,1,Lost Customers
23,13,5834.59,0,Champions
4,16,7092.610000000001,0,Champions
274,7,1364.09,3,New/Promising
502,2,622.6700000000001,2,At-Risk Loyalists
20,5,1382.74,1,Lost Customers
144,1,90.0,2,At-Risk Loyalists
429,1,458.45,2,At-Risk Loyalists
376,2,183.37,2,At-Risk Loyalists
4,4,2780.15,1,Lost Customers
406,3,362.42,2,At-Risk Loyalists
733,1,436.18,2,At-Risk Loyalists
84,1,419.58000000000004,2,At-Risk Loyalists
11,3,2740.43,1,Lost Customers
8,4,1172.46,1,Lost Customers
123,6,1900.0800000000002,3,New/Promising
61,3,924.21,1,Lost Customers
2,9,2591.34,0,Champions
319,4,1882.67,3,New/Promising
649,1,187.87,2,At-Risk Loyalists
2,11,3586.0299999999997,0,Champions
130,4,911.14,3,New/Promising
383,15,11123.35,3,New/Promising
2,24,9643.92,0,Champions
401,5,1570.81,3,New/Promising
696,1,332.7,2,At-Risk Loyalists
2,2,982.3800000000001,1,Lost Customers
46,4,1086.8,1,Lost Customers
4,2,935.05,1,Lost Customers
3,4,915.13,1,Lost Customers
373,2,983.15,2,At-Risk Loyalists
134,1,115.8,2,At-Risk Loyalists
486,1,30.599999999999998,2,At-Risk Loyalists
47,7,7600.05,0,Champions
9,12,9450.3,0,Champions
78,9,2590.2,3,New/Promising
234,2,466.29,2,At-Risk Loyalists
221,1,446.62,2,At-Risk Loyalists
36,2,658.64,1,Lost Customers
673,2,679.45,2,At-Risk Loyalists
75,7,1997.3400000000001,3,New/Promising
483,1,233.4,2,At-Risk Loyalists
239,8,6460.7,3,New/Promising
266,1,118.75,2,At-Risk Loyalists
10,156,313946.37,0,Champions
20,5,1002.78,1,Lost Customers
40,1,507.66,1,Lost Customers
20,20,7938.01,0,Champions
610,7,8421.47,3,New/Promising
216,7,3318.88,3,New/Promising
174,2,289.36,2,At-Risk Loyalists
87,5,2594.62,3,New/Promising
71,2,1631.77,3,New/Promising
276,1,122.53999999999999,2,At-Risk Loyalists
505,2,256.85,2,At-Risk Loyalists
39,8,1296.49,3,New/Promising
421,2,370.45,2,At-Risk Loyalists
431,2,624.4300000000001,2,At-Risk Loyalists
375,3,597.33,2,At-Risk Loyalists
98,2,498.79,2,At-Risk Loyalists
605,3,402.72,2,At-Risk Loyalists
11,6,586.0,1,Lost Customers
33,1,134.46,1,Lost Customers
60,8,7678.88,0,Champions
297,5,916.01,3,New/Promising
86,13,2229.34,3,New/Promising
9,7,1620.93,1,Lost Customers
41,2,719.78,1,Lost Customers
11,33,6319.25,0,Champions
411,2,310.55,2,At-Risk Loyalists
444,4,678.77,3,New/Promising
411,2,286.29,2,At-Risk Loyalists
67,1,452.89,1,Lost Customers
331,1,197.65,2,At-Risk Loyalists
427,5,1550.63,3,New/Promising
474,1,123.5,2,At-Risk Loyalists
31,6,2054.36,3,New/Promising
2,16,5814.39,0,Champions
666,1,79.9,2,At-Risk Loyalists
2,15,4817.66,0,Champions
388,1,293.74,2,At-Risk Loyalists
68,3,1210.19,3,New/Promising
5,36,18670.59,0,Champions
202,6,2615.6,3,New/Promising
107,1,335.52,2,At-Risk Loyalists
411,1,390.05,2,At-Risk Loyalists
18,9,1569.73,0,Champions
218,4,1091.7,3,New/Promising
617,1,379.2,2,At-Risk Loyalists
60,10,1193.54,3,New/Promising
381,3,847.76,3,New/Promising
397,1,339.34,2,At-Risk Loyalists
2,4,1062.96,1,Lost Customers
17,9,2414.2,0,Champions
239,3,1185.01,3,New/Promising
688,1,157.8,2,At-Risk Loyalists
95,2,567.05,1,Lost Customers
11,15,4993.27,0,Champions
106,16,5861.52,0,Champions
53,18,4402.29,0,Champions
90,2,2190.14,3,New/Promising
405,1,1192.2,2,At-Risk Loyalists
31,5,1004.38,1,Lost Customers
12,9,3416.33,0,Champions
3,5,2150.04,1,Lost Customers
2,23,3416.89,0,Champions
43,1,169.48000000000002,1,Lost Customers
4,3,633.83,1,Lost Customers
247,4,1515.0,3,New/Promising
42,17,6517.49,0,Champions
177,1,683.17,2,At-Risk Loyalists
92,3,991.13,3,New/Promising
110,9,1897.9,3,New/Promising
435,4,2037.02,3,New/Promising
29,6,3002.53,3,New/Promising
26,15,6368.71,0,Champions
438,3,745.5,3,New/Promising
52,7,2594.04,3,New/Promising
436,3,979.8000000000001,3,New/Promising
184,4,1235.6200000000001,3,New/Promising
43,5,2048.07,3,New/Promising
49,7,2904.27,3,New/Promising
22,4,775.46,1,Lost Customers
75,9,4717.99,3,New/Promising
81,5,1744.64,3,New/Promising
373,2,632.14,2,At-Risk Loyalists
326,3,434.23,2,At-Risk Loyalists
43,21,4263.17,0,Champions
30,3,1247.49,1,Lost Customers
184,2,333.70000000000005,2,At-Risk Loyalists
235,2,280.55,2,At-Risk Loyalists
9,17,7431.05,0,Champions
661,1,366.41999999999996,2,At-Risk Loyalists
220,2,1693.45,3,New/Promising
111,3,1474.06,3,New/Promising
278,5,772.66,3,New/Promising
318,3,1032.95,3,New/Promising
411,12,5625.461,3,New/Promising
7,3,1904.05,1,Lost Customers
2,5,2879.7000000000003,0,Champions
381,1,350.99,2,At-Risk Loyalists
493,2,363.40000000000003,2,At-Risk Loyalists
433,1,601.03,2,At-Risk Loyalists
546,1,1000.63,2,At-Risk Loyalists
260,5,2473.9900000000002,3,New/Promising
64,9,5954.45,0,Champions
9,25,32051.34,0,Champions
142,1,120.0,2,At-Risk Loyalists
471,3,824.28,3,New/Promising
51,2,1163.45,1,Lost Customers
8,8,2618.23,0,Champions
423,1,322.93,2,At-Risk Loyalists
155,6,1517.3600000000001,3,New/Promising
109,4,1373.35,3,New/Promising
428,1,40.56,2,At-Risk Loyalists
163,3,1516.24,3,New/Promising
471,1,354.85,2,At-Risk Loyalists
439,1,295.73,2,At-Risk Loyalists
332,1,492.65000000000003,2,At-Risk Loyalists
226,2,219.13,2,At-Risk Loyalists
74,4,920.81,3,New/Promising
51,4,559.97,1,Lost Customers
686,1,256.6,2,At-Risk Loyalists
396,6,1189.3799999999999,3,New/Promising
99,7,2102.68,3,New/Promising
15,9,17225.81,0,Champions
410,1,205.83,2,At-Risk Loyalists
521,2,191.86,2,At-Risk Loyalists
197,1,134.04,2,At-Risk Loyalists
408,1,245.15,2,At-Risk Loyalists
3,25,7849.66,0,Champions
463,4,628.4399999999999,3,New/Promising
31,3,1299.65,1,Lost Customers
21,8,3284.42,0,Champions
24,7,8479.76,0,Champions
8,3,176.63,1,Lost Customers
213,1,426.6,2,At-Risk Loyalists
9,6,911.26,1,Lost Customers
11,8,4516.56,0,Champions
2,23,7904.1,0,Champions
8,16,9226.25,0,Champions
3,9,3267.9300000000003,0,Champions
407,1,375.34,2,At-Risk Loyalists
40,5,2362.91,3,New/Promising
421,2,456.40000000000003,2,At-Risk Loyalists
18,4,1305.33,1,Lost Customers
8,82,91194.49,0,Champions
8,27,14499.49,0,Champions
19,1,43.2,1,Lost Customers
117,4,1992.18,3,New/Promising
431,3,742.9000000000001,3,New/Promising
407,2,277.94,2,At-Risk Loyalists
223,3,1725.01,3,New/Promising
71,3,1858.96,3,New/Promising
51,6,3151.4,3,New/Promising
89,10,5071.03,3,New/Promising
549,2,1147.02,2,At-Risk Loyalists
8,11,3780.81,0,Champions
433,1,492.1,2,At-Risk Loyalists
243,2,516.45,2,At-Risk Loyalists
47,11,3090.29,0,Champions
107,2,229.8,2,At-Risk Loyalists
45,8,3197.82,3,New/Promising
422,5,1370.34,3,New/Promising
65,1,508.58000000000004,1,Lost Customers
460,1,158.02,2,At-Risk Loyalists
424,1,494.85,2,At-Risk Loyalists
207,5,1346.75,3,New/Promising
11,7,2218.06,0,Champions
429,4,474.1,2,At-Risk Loyalists
115,2,605.0600000000001,2,At-Risk Loyalists
410,2,701.61,2,At-Risk Loyalists
570,1,245.48000000000002,2,At-Risk Loyalists
242,3,940.98,3,New/Promising
163,6,1894.93,3,New/Promising
438,1,445.05,2,At-Risk Loyalists
17,15,9927.22,0,Champions
624,1,200.63,2,At-Risk Loyalists
124,2,462.65999999999997,2,At-Risk Loyalists
23,5,1943.51,1,Lost Customers
68,1,415.2,2,At-Risk Loyalists
17,12,4318.48,0,Champions
16,2,468.26,1,Lost Customers
17,4,1614.91,1,Lost Customers
161,3,928.1,3,New/Promising
243,2,620.27,2,At-Risk Loyalists
219,1,134.7,2,At-Risk Loyalists
45,18,4467.32,0,Champions
21,6,918.44,1,Lost Customers
421,4,1088.91,3,New/Promising
127,20,3333.7000000000003,0,Champions
39,1,108.97999999999999,2,At-Risk Loyalists
121,5,2315.75,3,New/Promising
737,1,82.6,2,At-Risk Loyalists
260,1,409.57,2,At-Risk Loyalists
10,1,133.5,1,Lost Customers
274,3,972.03,3,New/Promising
165,1,51.0,2,At-Risk Loyalists
157,4,1078.96,3,New/Promising
215,3,376.5,2,At-Risk Loyalists
6,2,163.62,1,Lost Customers
366,3,1014.45,3,New/Promising
80,2,701.23,1,Lost Customers
43,1,225.77,1,Lost Customers
389,2,400.06,2,At-Risk Loyalists
19,3,912.18,1,Lost Customers
32,4,2128.23,1,Lost Customers
579,1,214.70999999999998,2,At-Risk Loyalists
22,1,161.2,1,Lost Customers
402,2,227.47000000000003,2,At-Risk Loyalists
109,8,3717.35,3,New/Promising
395,2,634.68,2,At-Risk Loyalists
525,1,136.0,2,At-Risk Loyalists
8,16,9261.52,0,Champions
320,1,155.0,2,At-Risk Loyalists
642,2,469.13,2,At-Risk Loyalists
451,6,1175.78,3,New/Promising
295,1,100.5,2,At-Risk Loyalists
443,2,860.08,2,At-Risk Loyalists
358,1,76.55,2,At-Risk Loyalists
541,1,108.0,2,At-Risk Loyalists
185,3,1132.99,3,New/Promising
683,1,215.46,2,At-Risk Loyalists
191,2,617.05,2,At-Risk Loyalists
622,1,131.25,2,At-Risk Loyalists
44,4,1268.91,1,Lost Customers
682,1,48.96,2,At-Risk Loyalists
52,2,631.34,1,Lost Customers
26,2,1246.8,1,Lost Customers
38,3,1247.69,1,Lost Customers
501,1,58.5,2,At-Risk Loyalists
9,3,202.11,1,Lost Customers
297,1,142.4,2,At-Risk Loyalists
33,3,1770.56,1,Lost Customers
10,16,6701.0,0,Champions
65,5,1898.01,3,New/Promising
10,13,6399.83,0,Champions
577,1,135.6,2,At-Risk Loyalists
432,1,266.4,2,At-Risk Loyalists
218,1,67.95,2,At-Risk Loyalists
565,1,93.8,2,At-Risk Loyalists
2,20,8208.01,0,Champions
65,7,2121.93,3,New/Promising
3,19,2612.96,0,Champions
401,2,707.79,2,At-Risk Loyalists
394,8,2113.16,3,New/Promising
149,3,1732.47,3,New/Promising
4,22,6795.9,0,Champions
652,1,285.6,2,At-Risk Loyalists
130,6,1880.51,3,New/Promising
34,13,2899.11,0,Champions
387,1,195.0,2,At-Risk Loyalists
119,1,156.75,2,At-Risk Loyalists
107,6,2157.73,3,New/Promising
11,11,4109.77,0,Champions
71,9,3756.09,3,New/Promising
92,11,2651.14,3,New/Promising
311,1,1063.0,2,At-Risk Loyalists
43,3,1426.19,1,Lost Customers
362,4,770.37,3,New/Promising
92,8,2399.33,3,New/Promising
1,23,12091.6,0,Champions
22,2,490.22,1,Lost Customers
388,1,604.2,2,At-Risk Loyalists
4,3,1937.25,1,Lost Customers
11,7,1260.91,1,Lost Customers
99,4,1639.17,3,New/Promising
57,6,2469.37,3,New/Promising
1,19,10271.52,0,Champions
218,3,916.6099999999999,3,New/Promising
18,1,322.08,1,Lost Customers
435,3,661.39,2,At-Risk Loyalists
24,17,11727.94,0,Champions
50,4,1263.52,3,New/Promising
7,5,1244.83,1,Lost Customers
404,1,516.28,2,At-Risk Loyalists
512,3,1220.9,3,New/Promising
303,4,2614.2,3,New/Promising
10,6,2255.51,1,Lost Customers
466,1,289.6,2,At-Risk Loyalists
22,6,1372.8,1,Lost Customers
502,1,90.42,2,At-Risk Loyalists
99,2,271.70000000000005,2,At-Risk Loyalists
366,5,958.84,3,New/Promising
306,1,131.9,2,At-Risk Loyalists
320,5,9443.04,3,New/Promising
8,13,6638.7300000000005,0,Champions
1,11,4611.6900000000005,0,Champions
205,7,5367.0199999999995,3,New/Promising
54,5,2386.47,3,New/Promising
456,1,132.04,2,At-Risk Loyalists
456,1,221.65,2,At-Risk Loyalists
1,5,1241.31,1,Lost Customers
19,6,1711.73,1,Lost Customers
9,2,375.35,1,Lost Customers
19,8,2482.8,0,Champions
181,7,1128.44,3,New/Promising
60,12,3308.77,0,Champions
11,4,665.59,1,Lost Customers
190,1,119.93,2,At-Risk Loyalists
376,5,977.3,3,New/Promising
432,4,628.21,3,New/Promising
5,9,3062.4,0,Champions
311,1,113.64,2,At-Risk Loyalists
381,1,237.42,2,At-Risk Loyalists
155,2,5375.741,3,New/Promising
110,9,1093.5,3,New/Promising
148,13,6713.5,3,New/Promising
66,12,2270.01,3,New/Promising
98,4,786.5699999999999,3,New/Promising
568,2,111.0,2,At-Risk Loyalists
247,11,3946.03,3,New/Promising
29,13,4646.9,0,Champions
18,12,2220.9900000000002,0,Champions
734,1,204.24,2,At-Risk Loyalists
416,4,2112.21,3,New/Promising
12,3,712.04,1,Lost Customers
591,2,400.95,2,At-Risk Loyalists
104,9,2228.22,3,New/Promising
74,2,234.34000000000003,2,At-Risk Loyalists
46,2,1278.08,1,Lost Customers
72,4,1151.15,3,New/Promising
257,1,215.7,2,At-Risk Loyalists
20,7,1969.6,0,Champions
382,4,1276.66,3,New/Promising
254,4,1299.11,3,New/Promising
11,4,1299.52,1,Lost Customers
165,5,2311.4900000000002,3,New/Promising
18,12,4357.91,0,Champions
282,2,257.1,2,At-Risk Loyalists
50,4,1070.98,1,Lost Customers
39,1,165.75,1,Lost Customers
512,2,175.5,2,At-Risk Loyalists
27,7,1453.61,1,Lost Customers
68,1,1064.28,1,Lost Customers
207,4,1574.93,3,New/Promising
406,2,1273.47,3,New/Promising
175,2,468.13,2,At-Risk Loyalists
430,7,1921.91,3,New/Promising
7,10,5130.15,0,Champions
26,3,401.46,1,Lost Customers
51,3,174.8,1,Lost Customers
312,7,2668.23,3,New/Promising
309,2,697.0600000000001,2,At-Risk Loyalists
43,10,3911.27,0,Champions
26,7,2138.9700000000003,3,New/Promising
88,3,356.85,1,Lost Customers
184,2,251.21,2,At-Risk Loyalists
20,11,2470.67,0,Champions
3,6,3543.26,0,Champions
47,4,673.26,1,Lost Customers
17,19,12001.84,0,Champions
17,7,3290.67,0,Champions
24,11,3284.43,0,Champions
22,5,874.94,1,Lost Customers
534,1,110.95,2,At-Risk Loyalists
376,3,1007.28,3,New/Promising
11,5,1314.81,1,Lost Customers
188,7,1223.47,3,New/Promising
101,6,788.01,3,New/Promising
61,9,4598.9800000000005,0,Champions
18,12,3749.2599999999998,0,Champions
516,1,163.92,2,At-Risk Loyalists
33,2,330.45,1,Lost Customers
64,1,174.37,2,At-Risk Loyalists
684,2,206.09,2,At-Risk Loyalists
2,2,270.6,1,Lost Customers
491,1,199.45000000000002,2,At-Risk Loyalists
24,8,1758.6200000000001,0,Champions
108,1,241.09,2,At-Risk Loyalists
32,13,2933.71,0,Champions
20,17,8240.64,0,Champions
389,1,262.4,2,At-Risk Loyalists
3,122,27792.3,0,Champions
37,1,364.21999999999997,1,Lost Customers
60,3,620.04,1,Lost Customers
26,16,6197.4,0,Champions
480,1,376.34,2,At-Risk Loyalists
236,11,3859.1800000000003,3,New/Promising
25,11,3466.37,0,Champions
3,26,6271.11,0,Champions
60,9,6030.7300000000005,0,Champions
260,1,171.8,2,At-Risk Loyalists
58,2,641.4,1,Lost Customers
65,5,1370.8400000000001,3,New/Promising
16,2,537.48,1,Lost Customers
10,11,3795.34,0,Champions
59,14,2499.68,0,Champions
186,1,103.25,2,At-Risk Loyalists
29,39,14906.77,0,Champions
24,3,2982.43,1,Lost Customers
674,1,349.25,2,At-Risk Loyalists
5,11,5197.9,0,Champions
4,8,4007.54,0,Champions
151,9,2627.49,3,New/Promising
311,4,916.5500000000001,3,New/Promising
11,4,1353.31,1,Lost Customers
18,7,880.04,1,Lost Customers
152,3,511.28000000000003,2,At-Risk Loyalists
19,9,1841.54,0,Champions
10,4,2381.04,1,Lost Customers
57,6,2315.63,3,New/Promising
596,3,835.34,3,New/Promising
85,1,788.38,1,Lost Customers
654,3,655.5,2,At-Risk Loyalists
390,1,75.6,2,At-Risk Loyalists
7,44,6114.03,0,Champions
76,3,1080.76,3,New/Promising
4,26,6729.400000000001,0,Champions
510,2,679.44,2,At-Risk Loyalists
435,2,2605.62,3,New/Promising
96,5,3859.2200000000003,3,New/Promising
111,4,4092.0,3,New/Promising
57,2,1530.3600000000001,1,Lost Customers
435,1,919.7,2,At-Risk Loyalists
1,4,598.98,1,Lost Customers
281,3,613.75,2,At-Risk Loyalists
425,1,161.65,2,At-Risk Loyalists
3,11,5615.18,0,Champions
180,13,2621.42,3,New/Promising
733,1,143.70000000000002,2,At-Risk Loyalists
488,1,460.71,2,At-Risk Loyalists
372,1,70.80000000000001,2,At-Risk Loyalists
13,7,1374.25,1,Lost Customers
3,1,168.63,1,Lost Customers
432,1,105.56,2,At-Risk Loyalists
518,1,14.850000000000001,2,At-Risk Loyalists
17,2,433.8,1,Lost Customers
41,1,114.11,2,At-Risk Loyalists
6,8,1781.03,0,Champions
169,8,1747.91,3,New/Promising
50,5,1143.27,3,New/Promising
277,1,237.36,2,At-Risk Loyalists
19,9,1601.14,0,Champions
